                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.8454,                0.39576,                0.78532,                0.91544,                0.70651,                0.80143,                0.53756,                0.83139,                0.42983,                0.78939,               0.000656,               0.000656,               0.000656
                     50,                 0.8194,                 0.3919,                0.78683,                0.88948,                0.73976,                0.80651,                0.55367,                0.79084,                0.41101,                0.78764,             0.00064362,             0.00064362,             0.00064362
                     51,                 0.8237,                 0.3922,                0.78607,                0.92144,                0.75889,                0.82941,                0.56795,                0.77863,                0.39581,                0.78757,             0.00063125,             0.00063125,             0.00063125
                     52,                0.82188,                0.38961,                0.78482,                0.90085,                0.73666,                0.80925,                0.55458,                0.80124,                0.41746,                0.78649,             0.00061887,             0.00061887,             0.00061887
                     53,                0.82222,                0.39062,                0.78374,                0.90489,                0.68147,                0.80097,                0.54799,                 0.7985,                0.41668,                0.78597,              0.0006065,              0.0006065,              0.0006065
                     54,                0.83916,                0.38706,                0.78476,                0.91472,                0.74269,                0.80444,                0.54961,                0.80484,                0.40351,                0.78763,             0.00059413,             0.00059413,             0.00059413
                     55,                0.81595,                0.38268,                0.78385,                0.89264,                0.73467,                0.80971,                0.54396,                0.80484,                0.40688,                0.78877,             0.00058175,             0.00058175,             0.00058175
                     56,                0.81818,                0.38059,                0.78456,                0.94999,                0.68283,                0.79788,                0.55467,                0.76078,                0.40347,                0.78636,             0.00056938,             0.00056938,             0.00056938
                     57,                0.79535,                 0.3759,                0.78362,                0.94875,                0.71389,                0.80582,                0.54529,                0.80489,                0.40784,                0.78816,               0.000557,               0.000557,               0.000557
                     58,                0.80175,                0.37255,                0.78283,                0.94273,                0.74226,                0.81546,                0.56967,                0.78502,                 0.3901,                0.78769,             0.00054463,             0.00054463,             0.00054463
                     59,                0.77565,                0.36527,                0.78151,                0.92859,                0.76393,                0.82576,                0.58742,                0.77093,                0.38881,                0.78555,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.7801,                0.36641,                0.78264,                0.93488,                0.74982,                0.81289,                0.57756,                0.76813,                0.38319,                0.78596,             0.00051988,             0.00051988,             0.00051988
                     61,                0.81687,                0.37797,                0.78327,                0.92301,                0.72307,                0.80464,                0.53098,                0.87283,                0.42655,                0.79176,              0.0005075,              0.0005075,              0.0005075
                     62,                0.85016,                 0.3848,                0.78459,                0.92009,                0.72416,                0.79867,                0.54278,                0.80693,                0.40456,                0.78732,             0.00049513,             0.00049513,             0.00049513
                     63,                0.79798,                0.36655,                0.78235,                0.89867,                0.73065,                 0.8196,                0.57276,                0.77716,                0.39146,                0.78553,             0.00048275,             0.00048275,             0.00048275
